

 1D internal forces





Type Name	Name	1D internal forces
1D internal forces	1D internal forces	See table 1

Table 1
Type Name	1D internal forces
1D internal forces	Linear calculation  Combination: ULS-Set B (auto)  Coordinate system: Principal  Extreme 1D: Member  Selection: All    See table 2

Table 2
Name	dx  [m]	Case	N  [kN]	V_{y}  [kN]	V_{z}  [kN]	M_{x}  [kNm]	M_{y}  [kNm]	M_{z}  [kNm]
B1	3.182	ULS-Set  B  (auto)/1	-11.52	4.10	-4.58	0.01	-1.25	6.42
B1	3.182	ULS-Set  B  (auto)/2	-15.55	5.54	-6.19	0.01	-1.69	8.66
B1	1.591+	ULS-Set  B  (auto)/2	-18.16	5.54	0.67	0.01	2.70	-0.15
B1	0.000	ULS-Set  B  (auto)/2	-20.76	5.54	7.52	0.01	-3.82	-8.96
B2	3.223	ULS-Set  B  (auto)/1	-110.43	0.97	-4.53	0.00	-1.76	2.42
B2	3.223	ULS-Set  B  (auto)/2	-149.08	1.31	-6.11	0.00	-2.38	3.26
B2	2.014	ULS-Set  B  (auto)/2	-150.64	1.31	-0.76	0.00	1.77	1.68
B2	0.000	ULS-Set  B  (auto)/2	-153.24	1.31	8.15	0.00	-5.67	-0.95
B3	3.255	ULS-Set  B  (auto)/1	-193.64	1.24	-4.91	0.00	-1.68	2.24
B3	3.255	ULS-Set  B  (auto)/2	-261.41	1.68	-6.63	0.00	-2.27	3.02
B3	1.627+	ULS-Set  B  (auto)/2	-262.92	1.68	0.72	0.00	2.53	0.29
B3	0.000	ULS-Set  B  (auto)/2	-264.44	1.68	8.07	0.00	-4.62	-2.45
B4	3.276	ULS-Set  B  (auto)/1	-253.97	0.71	-5.19	0.00	-1.67	1.45
B4	3.276	ULS-Set  B  (auto)/2	-342.87	0.96	-7.00	0.00	-2.26	1.96
B4	1.638+	ULS-Set  B  (auto)/2	-343.79	0.96	0.49	0.00	3.07	0.38
B4	0.000	ULS-Set  B  (auto)/2	-344.71	0.96	7.99	0.00	-3.88	-1.20
B5	3.287	ULS-Set  B  (auto)/1	-284.90	0.24	-5.50	0.00	-1.91	0.66
B5	3.287	ULS-Set  B  (auto)/2	-384.62	0.32	-7.43	0.00	-2.58	0.89
B5	1.644+	ULS-Set  B  (auto)/2	-384.93	0.32	0.14	0.00	3.40	0.35
B5	0.000	ULS-Set  B  (auto)/2	-385.24	0.32	7.71	0.00	-3.05	-0.18
B6	0.000	ULS-Set  B  (auto)/2	-382.86	-0.35	7.42	0.00	-2.56	0.93
B6	0.000	ULS-Set  B  (auto)/1	-283.60	-0.26	5.49	0.00	-1.90	0.69
B6	1.644-	ULS-Set  B  (auto)/2	-383.17	-0.35	-0.15	0.00	3.40	0.35
B6	3.287	ULS-Set  B  (auto)/2	-383.48	-0.35	-7.72	0.00	-3.07	-0.23
B7	0.000	ULS-Set  B  (auto)/2	-337.71	-0.99	6.99	0.00	-2.24	2.01
B7	0.000	ULS-Set  B  (auto)/1	-250.16	-0.73	5.17	0.00	-1.66	1.49
B7	1.638-	ULS-Set  B  (auto)/2	-338.63	-0.99	-0.51	0.00	3.06	0.38
B7	3.276	ULS-Set  B  (auto)/2	-339.55	-0.99	-8.00	0.00	-3.91	-1.24
B8	0.000	ULS-Set  B  (auto)/2	-253.28	-1.71	6.62	0.00	-2.27	3.07
B8	0.000	ULS-Set  B  (auto)/1	-187.61	-1.27	4.91	0.00	-1.68	2.27
B8	1.627-	ULS-Set  B  (auto)/2	-254.79	-1.71	-0.72	0.00	2.54	0.29
B8	3.255	ULS-Set  B  (auto)/2	-256.31	-1.71	-8.07	0.00	-4.62	-2.49
B9	0.000	ULS-Set  B  (auto)/2	-138.98	-1.33	6.05	0.00	-2.34	3.31
B9	0.000	ULS-Set  B  (auto)/1	-102.95	-0.99	4.48	0.00	-1.73	2.45
B9	1.209	ULS-Set  B  (auto)/2	-140.54	-1.33	0.71	0.00	1.75	1.70
B9	3.223	ULS-Set  B  (auto)/2	-143.13	-1.33	-8.21	0.00	-5.81	-0.98
B10	0.000	ULS-Set  B  (auto)/2	-5.05	-5.57	6.21	-0.01	-1.79	8.72
B10	0.000	ULS-Set  B  (auto)/1	-3.74	-4.13	4.60	-0.01	-1.33	6.46
B10	1.591-	ULS-Set  B  (auto)/2	-7.65	-5.57	-0.64	-0.01	2.64	-0.15
B10	3.182	ULS-Set  B  (auto)/2	-10.26	-5.57	-7.50	-0.01	-3.84	-9.01
B11	3.439	ULS-Set  B  (auto)/1	-29.02	4.62	-4.53	0.00	0.23	7.49
B11	3.439	ULS-Set  B  (auto)/2	-39.18	6.24	-6.11	0.00	0.30	10.11
B11	1.911	ULS-Set  B  (auto)/2	-41.57	6.24	0.52	0.00	4.58	0.57
B11	0.000	ULS-Set  B  (auto)/2	-44.55	6.24	8.80	0.00	-4.32	-11.36
B12	3.492	ULS-Set  B  (auto)/1	-78.95	1.63	-5.15	0.00	-1.43	3.22
B12	3.492	ULS-Set  B  (auto)/2	-106.58	2.21	-6.95	0.00	-1.94	4.35
B12	1.940	ULS-Set  B  (auto)/2	-108.49	2.21	-0.06	0.00	3.51	0.92
B12	0.000	ULS-Set  B  (auto)/2	-110.87	2.21	8.56	0.00	-4.75	-3.36
B13	3.533	ULS-Set  B  (auto)/1	-112.85	1.46	-5.40	0.00	-1.68	2.65
B13	3.533	ULS-Set  B  (auto)/2	-152.35	1.98	-7.29	0.00	-2.26	3.58
B13	1.963	ULS-Set  B  (auto)/2	-153.74	1.98	-0.19	0.00	3.61	0.47
B13	0.000	ULS-Set  B  (auto)/2	-155.47	1.98	8.69	0.00	-4.74	-3.41
B14	3.561	ULS-Set  B  (auto)/1	-135.82	0.90	-5.70	0.00	-1.94	1.68
B14	3.561	ULS-Set  B  (auto)/2	-183.35	1.21	-7.70	0.00	-2.62	2.27
B14	1.780+	ULS-Set  B  (auto)/2	-184.30	1.21	0.45	0.00	3.83	0.11
B14	0.000	ULS-Set  B  (auto)/2	-185.25	1.21	8.60	0.00	-4.23	-2.04
B15	3.575	ULS-Set  B  (auto)/1	-148.14	0.30	-5.99	0.00	-2.29	0.61
B15	3.575	ULS-Set  B  (auto)/2	-199.99	0.40	-8.09	0.00	-3.10	0.82
