

 1D internal forces





Type Name	Name	1D internal forces
1D internal forces	1D internal forces	See table 1

Table 1
Type Name	1D internal forces
1D internal forces	Linear calculation  Combination: ULS-Set B (auto)  Coordinate system: Principal  Extreme 1D: Member  Selection: All    See table 2

Table 2
Name	dx  [m]	Case	N  [kN]	V_{y}  [kN]	V_{z}  [kN]	M_{x}  [kNm]	M_{y}  [kNm]	M_{z}  [kNm]
B1	3.613	ULS-Set  B  (auto)/1	-333.64	166.25	-139.77	11.06	181.09	200.42
B1	0.000	ULS-Set  B  (auto)/2	-237.69	123.14	-61.85	8.20	432.93	-296.50
B1	3.613	ULS-Set  B  (auto)/2	-247.14	123.14	-103.53	8.20	134.14	148.46
B1	0.000	ULS-Set  B  (auto)/1	-320.88	166.25	-83.49	11.06	584.45	-400.28
B2	3.881	ULS-Set  B  (auto)/2	-523.38	-35.57	-16.09	-14.08	253.63	-43.48
B2	0.000	ULS-Set  B  (auto)/1	-716.00	-48.02	39.54	-19.01	307.82	127.68
B2	0.000	ULS-Set  B  (auto)/2	-530.37	-35.57	29.29	-14.08	228.01	94.58
B2	2.588	ULS-Set  B  (auto)/1	-709.71	-48.02	-1.30	-19.01	357.29	3.43
B2	3.881	ULS-Set  B  (auto)/1	-706.56	-48.02	-21.72	-19.01	342.39	-58.70
B3	2.231	ULS-Set  B  (auto)/2	-473.53	31.94	19.01	14.85	408.68	10.72
B3	0.000	ULS-Set  B  (auto)/2	-479.36	31.94	44.75	14.85	337.55	-60.53
B3	0.000	ULS-Set  B  (auto)/1	-647.13	43.11	60.41	20.05	455.69	-81.72
B3	2.231	ULS-Set  B  (auto)/1	-639.27	43.11	25.66	20.05	551.71	14.47
B4	2.972	ULS-Set  B  (auto)/2	-87.36	28.42	-2.33	9.06	193.01	63.85
B4	2.972	ULS-Set  B  (auto)/1	-117.94	38.37	-3.14	12.23	260.57	86.20
B4	0.000	ULS-Set  B  (auto)/2	-88.39	28.42	32.82	9.06	147.70	-20.62
B4	2.642	ULS-Set  B  (auto)/1	-118.09	38.37	2.13	12.23	260.73	73.53
B4	0.000	ULS-Set  B  (auto)/1	-119.33	38.37	44.30	12.23	199.40	-27.83
B5	1.685	ULS-Set  B  (auto)/1	-821.75	-101.02	-80.91	-62.07	419.62	46.43
B5	0.000	ULS-Set  B  (auto)/1	-815.82	-101.02	-54.66	-62.07	533.83	216.65
B5	0.000	ULS-Set  B  (auto)/2	-604.31	-74.83	-40.49	-45.98	395.43	160.48
B5	1.685	ULS-Set  B  (auto)/2	-608.70	-74.83	-59.93	-45.98	310.83	34.39
B6	2.810	ULS-Set  B  (auto)/2	-3260.95	-133.62	82.86	-68.49	-114.15	-133.34
B6	0.000	ULS-Set  B  (auto)/1	-4413.18	-180.39	155.40	-92.46	-529.68	326.98
B6	2.810	ULS-Set  B  (auto)/1	-4402.29	-180.39	111.86	-92.46	-154.10	-180.01
